name,age,position,school,draft_pick,season,games,pass_cmp,pass_att,cmp%,yds,TDs,TD%,Int,Int%,Rating,Rush Attempts,Rush Yards,Rush TDs
Jameis Winston,21,QB,Florida St.,1,2013,14,257,384,66.9,4057,40,10.4,10,2.6,184.8,88,219,4.0
Jameis Winston,21,QB,Florida St.,1,2014,13,305,467,65.3,3907,25,5.4,18,3.9,145.5,57,65,3.0
Marcus Mariota,21,QB,Oregon,2,2012,13,230,336,68.5,2677,32,9.5,6,1.8,163.2,106,752,5.0
Marcus Mariota,21,QB,Oregon,2,2013,13,245,386,63.5,3665,31,8.0,4,1.0,167.7,96,715,9.0
Marcus Mariota,21,QB,Oregon,2,2014,15,304,445,68.3,4454,42,9.4,4,0.9,181.7,135,770,15.0
Garrett Grayson,24,QB,Colorado St.,75,2011,4,43,77,55.8,542,2,2.6,6,7.8,108.0,47,193,1.0
Garrett Grayson,24,QB,Colorado St.,75,2012,6,78,138,56.5,946,7,5.1,3,2.2,126.5,39,17,1.0
Garrett Grayson,24,QB,Colorado St.,75,2013,14,297,478,62.1,3696,23,4.8,11,2.3,138.4,69,119,2.0
Garrett Grayson,24,QB,Colorado St.,75,2014,13,270,420,64.3,4006,32,7.6,7,1.7,166.2,57,-46,0.0
Sean Mannion,23,QB,Oregon St.,89,2011,12,305,473,64.5,3328,16,3.4,18,3.8,127.1,32,-190,1.0
Sean Mannion,23,QB,Oregon St.,89,2012,10,200,309,64.7,2446,15,4.9,13,4.2,138.8,18,-85,0.0
Sean Mannion,23,QB,Oregon St.,89,2013,13,400,603,66.3,4662,37,6.1,15,2.5,146.6,34,-223,0.0
Sean Mannion,23,QB,Oregon St.,89,2014,12,282,453,62.3,3164,15,3.3,8,1.8,128.3,48,-306,1.0
Bryce Petty,24,QB,Baylor,103,2011,6,3,4,75.0,43,0,0.0,0,0.0,165.3,4,15,0.0
Bryce Petty,24,QB,Baylor,103,2012,6,7,10,70.0,97,1,10.0,0,0.0,184.5,10,13,1.0
Bryce Petty,24,QB,Baylor,103,2013,13,250,403,62.0,4200,32,7.9,3,0.7,174.3,94,209,14.0
Bryce Petty,24,QB,Baylor,103,2014,12,270,428,63.1,3855,29,6.8,7,1.6,157.8,84,101,6.0
Brett Hundley,22,QB,UCLA,147,2012,14,318,478,66.5,3740,29,6.1,11,2.3,147.7,160,355,9.0
Brett Hundley,22,QB,UCLA,147,2013,13,248,371,66.8,3071,24,6.5,9,2.4,152.9,160,748,11.0
Brett Hundley,22,QB,UCLA,147,2014,13,271,392,69.1,3155,22,5.6,5,1.3,152.7,159,644,10.0
Trevor Siemian,23,QB,Northwestern,250,2011,8,16,26,61.5,256,3,11.5,1,3.8,174.6,5,19,0.0
Trevor Siemian,23,QB,Northwestern,250,2012,13,128,218,58.7,1312,6,2.8,3,1.4,115.6,21,48,1.0
Trevor Siemian,23,QB,Northwestern,250,2013,12,178,298,59.7,2149,11,3.7,9,3.0,126.4,48,33,0.0
Trevor Siemian,23,QB,Northwestern,250,2014,11,228,392,58.2,2214,7,1.8,11,2.8,105.9,68,-123,5.0
Jared Goff,21,QB,California,1,2013,12,320,531,60.3,3508,18,3.4,10,1.9,123.2,59,-62,1.0
Jared Goff,21,QB,California,1,2014,12,316,509,62.1,3973,35,6.9,7,1.4,147.6,55,-44,0.0
Jared Goff,21,QB,California,1,2015,13,341,529,64.5,4719,43,8.1,13,2.5,161.3,56,-8,0.0
Paxton Lynch,22,QB,Memphis,26,2013,12,203,349,58.2,2056,9,2.6,10,2.9,110.4,88,127,2.0
Paxton Lynch,22,QB,Memphis,26,2014,13,259,413,62.7,3031,22,5.3,9,2.2,137.6,113,321,13.0
Paxton Lynch,22,QB,Memphis,26,2015,13,296,443,66.8,3776,28,6.3,4,0.9,157.5,87,239,2.0
Christian Hackenberg,21,QB,Penn St.,51,2013,12,231,392,58.9,2955,20,5.1,10,2.6,134.0,49,-68,4.0
Christian Hackenberg,21,QB,Penn St.,51,2014,13,270,484,55.8,2977,12,2.5,15,3.1,109.4,93,-94,0.0
Christian Hackenberg,21,QB,Penn St.,51,2015,13,192,359,53.5,2525,16,4.5,6,1.7,123.9,66,-80,2.0
Jacoby Brissett,23,QB,North Carolina St.,91,2011,8,18,39,46.2,206,2,5.1,4,10.3,86.9,13,7,2.0
Jacoby Brissett,23,QB,North Carolina St.,91,2012,5,23,35,65.7,249,1,2.9,0,0.0,134.9,7,-4,1.0
Jacoby Brissett,23,QB,North Carolina St.,91,2014,13,221,370,59.7,2606,23,6.2,5,1.4,136.7,124,529,3.0
Jacoby Brissett,23,QB,North Carolina St.,91,2015,13,237,395,60.0,2662,20,5.1,6,1.5,130.3,139,370,6.0
Cody Kessler,23,QB,USC,93,2012,10,2,2,100.0,9,0,0.0,0,0.0,137.8,0,0,0.0
Cody Kessler,23,QB,USC,93,2013,14,236,361,65.4,2968,20,5.5,7,1.9,148.8,42,-124,1.0
Cody Kessler,23,QB,USC,93,2014,13,315,452,69.7,3826,39,8.6,5,1.1,167.1,55,-152,2.0
Cody Kessler,23,QB,USC,93,2015,14,298,446,66.8,3536,29,6.5,7,1.6,151.7,61,-149,4.0
Connor Cook,23,QB,Michigan St.,100,2012,3,9,17,52.9,94,1,5.9,1,5.9,107.0,4,-3,0.0
Connor Cook,23,QB,Michigan St.,100,2013,14,223,380,58.7,2755,22,5.8,6,1.6,135.5,69,76,1.0
Connor Cook,23,QB,Michigan St.,100,2014,13,212,365,58.1,3214,24,6.6,8,2.2,149.4,51,80,2.0
Connor Cook,23,QB,Michigan St.,100,2015,13,229,408,56.1,3131,24,5.9,7,1.7,136.6,52,56,0.0
Dak Prescott,23,QB,Mississippi St.,135,2012,12,18,29,62.1,194,4,13.8,0,0.0,163.8,32,118,4.0
Dak Prescott,23,QB,Mississippi St.,135,2013,11,156,267,58.4,1940,10,3.7,7,2.6,126.6,134,829,13.0
Dak Prescott,23,QB,Mississippi St.,135,2014,13,244,396,61.6,3449,27,6.8,11,2.8,151.7,210,986,14.0
Dak Prescott,23,QB,Mississippi St.,135,2015,13,316,477,66.2,3793,29,6.1,5,1.0,151.0,160,588,10.0
Cardale Jones,23,QB,Ohio St.,139,2013,3,1,2,50.0,3,0,0.0,0,0.0,62.6,17,128,1.0
Cardale Jones,23,QB,Ohio St.,139,2014,10,49,79,62.0,746,5,6.3,2,2.5,157.2,60,212,1.0
Cardale Jones,23,QB,Ohio St.,139,2015,10,110,176,62.5,1460,8,4.5,5,2.8,141.5,64,193,2.0
Kevin Hogan,23,QB,Stanford,162,2012,10,109,152,71.7,1096,9,5.9,3,2.0,147.9,55,263,2.0
Kevin Hogan,23,QB,Stanford,162,2013,14,180,295,61.0,2630,20,6.8,10,3.4,151.5,84,355,2.0
Kevin Hogan,23,QB,Stanford,162,2014,13,232,352,65.9,2792,19,5.4,8,2.3,145.8,91,295,5.0
Kevin Hogan,23,QB,Stanford,162,2015,14,206,304,67.8,2867,27,8.9,8,2.6,171.0,85,336,6.0
Nate Sudfeld,22,QB,Indiana,187,2012,7,51,82,62.2,632,7,8.5,1,1.2,152.7,15,7,0.0
Nate Sudfeld,22,QB,Indiana,187,2013,12,194,322,60.2,2523,21,6.5,9,2.8,142.0,38,-34,1.0
Nate Sudfeld,22,QB,Indiana,187,2014,7,101,167,60.5,1151,6,3.6,3,1.8,126.6,36,98,2.0
Nate Sudfeld,22,QB,Indiana,187,2015,12,247,412,60.0,3573,27,6.6,7,1.7,151.0,46,61,5.0
Jake Rudock,23,QB,Michigan,191,2013,13,204,346,59.0,2383,18,5.2,13,3.8,126.5,67,218,5.0
Jake Rudock,23,QB,Michigan,191,2014,12,213,345,61.7,2436,16,4.6,5,1.4,133.5,67,176,3.0
Jake Rudock,23,QB,Michigan,191,2015,13,249,389,64.0,3017,20,5.1,9,2.3,141.5,58,166,4.0
Brandon Allen,24,QB,Arkansas,201,2012,5,21,49,42.9,186,1,2.0,3,6.1,69.2,8,-3,0.0
Brandon Allen,24,QB,Arkansas,201,2013,11,128,258,49.6,1552,13,5.0,10,3.9,109.0,29,29,1.0
Brandon Allen,24,QB,Arkansas,201,2014,13,190,339,56.0,2285,20,5.9,5,1.5,129.2,42,0,2.0
Brandon Allen,24,QB,Arkansas,201,2015,13,244,370,65.9,3440,30,8.1,8,2.2,166.5,56,107,1.0
Jeff Driskel,23,QB,Louisiana Tech,207,2011,5,16,34,47.1,148,0,0.0,2,5.9,71.9,16,18,0.0
Jeff Driskel,23,QB,Louisiana Tech,207,2012,12,156,245,63.7,1646,12,4.9,5,2.0,132.2,118,413,4.0
Jeff Driskel,23,QB,Louisiana Tech,207,2013,3,42,61,68.9,477,2,3.3,3,4.9,135.5,17,38,1.0
Jeff Driskel,23,QB,Louisiana Tech,207,2014,9,114,212,53.8,1140,9,4.2,10,4.7,103.5,69,180,4.0
Jeff Driskel,23,QB,Louisiana Tech,207,2015,13,281,450,62.4,4033,27,6.0,8,1.8,154.0,92,323,5.0
Brandon Doughty,24,QB,Western Kentucky,223,2011,2,13,22,59.1,106,0,0.0,1,4.5,90.5,2,-2,0.0
Brandon Doughty,24,QB,Western Kentucky,223,2012,2,1,3,33.3,7,0,0.0,0,0.0,52.9,0,0,0.0
Brandon Doughty,24,QB,Western Kentucky,223,2013,12,246,374,65.8,2857,14,3.7,14,3.7,134.8,34,-109,0.0
Brandon Doughty,24,QB,Western Kentucky,223,2014,13,375,552,67.9,4830,49,8.9,10,1.8,167.1,39,-52,2.0
Brandon Doughty,24,QB,Western Kentucky,223,2015,14,388,540,71.9,5055,48,8.9,9,1.7,176.5,27,-122,1.0
Mitchell Trubisky,23,QB,North Carolina,2,2014,12,42,78,53.8,459,5,6.4,4,5.1,114.2,11,30,0.0
Mitchell Trubisky,23,QB,North Carolina,2,2015,9,40,47,85.1,555,6,12.8,0,0.0,226.4,16,101,3.0
Mitchell Trubisky,23,QB,North Carolina,2,2016,13,304,447,68.0,3748,30,6.7,6,1.3,157.9,93,308,5.0
Patrick Mahomes,21,QB,Texas Tech,10,2014,7,105,185,56.8,1547,16,8.6,4,2.2,151.2,46,104,0.0
Patrick Mahomes,21,QB,Texas Tech,10,2015,13,364,573,63.5,4653,36,6.3,15,2.6,147.2,131,456,10.0
Patrick Mahomes,21,QB,Texas Tech,10,2016,12,388,591,65.7,5052,41,6.9,10,1.7,157.0,131,260,12.0
Deshaun Watson,21,QB,Clemson,12,2014,8,93,137,67.9,1466,14,10.2,2,1.5,188.6,63,200,5.0
Deshaun Watson,21,QB,Clemson,12,2015,15,333,491,67.8,4104,35,7.1,13,2.6,156.3,207,1105,12.0
Deshaun Watson,21,QB,Clemson,12,2016,15,388,579,67.0,4593,41,7.1,17,2.9,151.1,165,629,9.0
DeShone Kizer,21,QB,Notre Dame,52,2015,13,211,335,63.0,2884,21,6.3,10,3.0,150.0,134,520,10.0
DeShone Kizer,21,QB,Notre Dame,52,2016,12,212,361,58.7,2925,26,7.2,9,2.5,145.6,129,472,8.0
Davis Webb,22,QB,California,87,2013,10,226,361,62.6,2718,20,5.5,9,2.5,139.1,25,-12,0.0
Davis Webb,22,QB,California,87,2014,8,211,345,61.2,2539,24,7.0,13,3.8,138.4,17,16,1.0
Davis Webb,22,QB,California,87,2015,5,22,41,53.7,300,2,4.9,0,0.0,131.2,2,6,2.0
Davis Webb,22,QB,California,87,2016,12,382,620,61.6,4295,37,6.0,12,1.9,135.6,33,-110,6.0
C.J. Beathard,23,QB,Iowa,104,2013,5,9,27,33.3,179,1,3.7,2,7.4,86.4,13,49,2.0
C.J. Beathard,23,QB,Iowa,104,2014,9,52,92,56.5,645,5,5.4,2,2.2,129.0,28,156,0.0
C.J. Beathard,23,QB,Iowa,104,2015,14,223,362,61.6,2809,17,4.7,5,1.4,139.5,100,237,6.0
C.J. Beathard,23,QB,Iowa,104,2016,13,170,301,56.5,1929,17,5.6,10,3.3,122.3,83,-13,2.0
Joshua Dobbs,22,QB,Tennessee,135,2013,5,72,121,59.5,695,2,1.7,6,5.0,103.3,38,189,1.0
Joshua Dobbs,22,QB,Tennessee,135,2014,6,112,177,63.3,1206,9,5.1,6,3.4,130.5,104,469,8.0
Joshua Dobbs,22,QB,Tennessee,135,2015,13,205,344,59.6,2291,15,4.4,5,1.5,127.0,146,671,11.0
Joshua Dobbs,22,QB,Tennessee,135,2016,13,225,357,63.0,2946,27,7.6,12,3.4,150.6,150,831,12.0
Nathan Peterman,23,QB,Pittsburgh,171,2013,3,10,23,43.5,45,0,0.0,2,8.7,42.5,6,-6,0.0
Nathan Peterman,23,QB,Pittsburgh,171,2014,7,10,20,50.0,49,0,0.0,0,0.0,70.6,9,13,1.0
Nathan Peterman,23,QB,Pittsburgh,171,2015,13,193,314,61.5,2287,20,6.4,8,2.5,138.6,85,232,1.0
Nathan Peterman,23,QB,Pittsburgh,171,2016,13,185,306,60.5,2855,27,8.8,7,2.3,163.4,72,286,3.0
Brad Kaaya,22,QB,Miami (FL),215,2014,13,221,378,58.5,3198,26,6.9,12,3.2,145.9,27,-131,1.0
Brad Kaaya,22,QB,Miami (FL),215,2015,12,239,390,61.3,3242,16,4.1,5,1.3,142.1,30,-119,2.0
Brad Kaaya,22,QB,Miami (FL),215,2016,13,261,421,62.0,3532,27,6.4,7,1.7,150.3,37,-136,1.0
Chad Kelly,23,QB,Mississippi,253,2013,5,10,17,58.8,58,0,0.0,0,0.0,87.5,16,117,1.0
Chad Kelly,23,QB,Mississippi,253,2015,13,298,458,65.1,4042,31,6.8,13,2.8,155.9,107,500,10.0
Chad Kelly,23,QB,Mississippi,253,2016,9,205,328,62.5,2758,19,5.8,8,2.4,147.4,81,332,5.0
Baker Mayfield,23,QB,Oklahoma,1,2013,8,218,340,64.1,2315,12,3.5,9,2.6,127.7,88,190,3.0
Baker Mayfield,23,QB,Oklahoma,1,2015,13,269,395,68.1,3700,36,9.1,7,1.8,173.3,141,405,7.0
Baker Mayfield,23,QB,Oklahoma,1,2016,13,254,358,70.9,3965,40,11.2,8,2.2,196.4,78,177,6.0
Baker Mayfield,23,QB,Oklahoma,1,2017,14,285,404,70.5,4627,43,10.6,6,1.5,198.9,97,311,5.0
Sam Darnold,21,QB,USC,3,2016,13,246,366,67.2,3086,31,8.5,9,2.5,161.1,62,250,2.0
Sam Darnold,21,QB,USC,3,2017,14,303,480,63.1,4143,26,5.4,13,2.7,148.1,75,82,5.0
Josh Allen,22,QB,Wyoming,7,2015,2,4,6,66.7,51,0,0.0,0,0.0,138.1,3,40,0.0
Josh Allen,22,QB,Wyoming,7,2016,14,209,373,56.0,3203,28,7.5,15,4.0,144.9,142,523,7.0
Josh Allen,22,QB,Wyoming,7,2017,11,152,270,56.3,1812,16,5.9,6,2.2,127.8,92,204,5.0
Josh Rosen,21,QB,UCLA,10,2015,13,292,487,60.0,3670,23,4.7,11,2.3,134.3,37,15,2.0
Josh Rosen,21,QB,UCLA,10,2016,6,137,231,59.3,1915,10,4.3,5,2.2,138.9,22,-72,2.0
Josh Rosen,21,QB,UCLA,10,2017,11,283,452,62.6,3756,26,5.8,10,2.2,147.0,50,-97,2.0
Lamar Jackson,21,QB,Louisville,32,2015,12,135,247,54.7,1840,12,4.9,8,3.2,126.8,163,960,11.0
Lamar Jackson,21,QB,Louisville,32,2016,13,230,409,56.2,3543,30,7.3,9,2.2,148.8,260,1571,21.0
Lamar Jackson,21,QB,Louisville,32,2017,13,254,430,59.1,3660,27,6.3,10,2.3,146.6,232,1601,18.0
Mason Rudolph,23,QB,Oklahoma St.,76,2014,3,49,86,57.0,853,6,7.0,4,4.7,154.0,14,-33,0.0
Mason Rudolph,23,QB,Oklahoma St.,76,2015,13,264,424,62.3,3770,21,5.0,9,2.1,149.1,67,-35,1.0
Mason Rudolph,23,QB,Oklahoma St.,76,2016,13,284,448,63.4,4091,28,6.3,4,0.9,158.9,83,61,6.0
Mason Rudolph,23,QB,Oklahoma St.,76,2017,13,318,489,65.0,4904,37,7.6,9,1.8,170.6,61,35,10.0
Mike White,23,QB,Western Kentucky,171,2013,6,93,175,53.1,1083,3,1.7,9,5.1,100.5,14,-43,0.0
Mike White,23,QB,Western Kentucky,171,2014,11,122,242,50.4,1639,8,3.3,7,2.9,112.4,29,-85,0.0
Mike White,23,QB,Western Kentucky,171,2016,14,280,416,67.3,4363,37,8.9,7,1.7,181.4,29,-74,0.0
Mike White,23,QB,Western Kentucky,171,2017,13,368,560,65.7,4177,26,4.6,8,1.4,140.8,64,-268,6.0
Luke Falk,23,QB,Washington St.,199,2014,5,156,243,64.2,1859,13,5.3,7,2.9,140.4,36,-70,1.0
Luke Falk,23,QB,Washington St.,199,2015,12,448,645,69.5,4566,38,5.9,8,1.2,145.9,82,-115,3.0
Luke Falk,23,QB,Washington St.,199,2016,13,443,633,70.0,4468,38,6.0,11,1.7,145.6,66,-68,0.0
Luke Falk,23,QB,Washington St.,199,2017,12,357,534,66.9,3593,30,5.6,13,2.4,137.0,67,-147,0.0
Tanner Lee,23,QB,Nebraska,203,2014,10,185,336,55.1,1962,12,3.6,14,4.2,107.6,36,-125,0.0
Tanner Lee,23,QB,Nebraska,203,2015,9,143,276,51.8,1639,11,4.0,7,2.5,109.8,23,-162,0.0
Tanner Lee,23,QB,Nebraska,203,2017,12,246,428,57.5,3143,23,5.4,16,3.7,129.4,30,-97,2.0
Danny Etling,24,QB,LSU,219,2013,8,149,267,55.8,1690,10,3.7,7,2.6,116.1,55,-99,1.0
Danny Etling,24,QB,LSU,219,2014,5,89,162,54.9,800,6,3.7,5,3.1,102.5,33,-5,3.0
Danny Etling,24,QB,LSU,219,2016,11,160,269,59.5,2123,11,4.1,5,1.9,135.6,41,46,1.0
Danny Etling,24,QB,LSU,219,2017,13,165,275,60.0,2463,16,5.8,2,0.7,153.0,72,128,2.0
Alex McGough,22,QB,Florida International,220,2014,12,138,274,50.4,1680,14,5.1,10,3.6,111.4,97,92,4.0
Alex McGough,22,QB,Florida International,220,2015,12,269,420,64.0,2722,21,5.0,8,1.9,131.2,88,95,3.0
Alex McGough,22,QB,Florida International,220,2016,9,167,286,58.4,1891,13,4.5,11,3.8,121.2,45,117,4.0
Alex McGough,22,QB,Florida International,220,2017,13,232,355,65.4,2798,17,4.8,8,2.3,142.9,78,231,5.0
Kyler Murray,22,QB,Oklahoma,1,2015,8,72,121,59.5,686,5,4.1,7,5.8,109.2,53,335,1.0
Kyler Murray,22,QB,Oklahoma,1,2017,7,18,21,85.7,359,3,14.3,0,0.0,276.5,14,142,0.0
Kyler Murray,22,QB,Oklahoma,1,2018,14,260,377,69.0,4361,42,11.1,7,1.9,199.2,140,1001,12.0
Daniel Jones,22,QB,Duke,6,2016,12,270,430,62.8,2836,16,3.7,9,2.1,126.3,141,486,7.0
Daniel Jones,22,QB,Duke,6,2017,13,257,453,56.7,2691,14,3.1,11,2.4,112.0,161,518,7.0
Daniel Jones,22,QB,Duke,6,2018,11,237,392,60.5,2674,22,5.6,9,2.3,131.7,104,319,3.0
Dwayne Haskins,22,QB,Ohio St.,15,2017,8,40,57,70.2,565,4,7.0,1,1.8,173.1,24,86,0.0
Dwayne Haskins,22,QB,Ohio St.,15,2018,14,373,533,70.0,4831,50,9.4,8,1.5,174.1,79,108,4.0
Drew Lock,22,QB,Missouri,42,2015,12,129,263,49.0,1332,4,1.5,8,3.0,90.5,52,28,1.0
Drew Lock,22,QB,Missouri,42,2016,12,237,434,54.6,3399,23,5.3,10,2.3,133.3,52,123,1.0
Drew Lock,22,QB,Missouri,42,2017,13,242,419,57.8,3964,44,10.5,13,3.1,165.7,44,111,1.0
Drew Lock,22,QB,Missouri,42,2018,13,275,437,62.9,3498,28,6.4,8,1.8,147.7,55,175,6.0
Will Grier,24,QB,West Virginia,100,2015,6,106,161,65.8,1204,10,6.2,3,1.9,145.4,36,116,2.0
Will Grier,24,QB,West Virginia,100,2017,11,250,388,64.4,3490,34,8.8,12,3.1,162.7,63,122,2.0
Will Grier,24,QB,West Virginia,100,2018,11,266,397,67.0,3864,37,9.3,8,2.0,175.5,48,-90,3.0
Ryan Finley,24,QB,North Carolina St.,104,2014,5,12,27,44.4,161,2,7.4,1,3.7,111.6,7,31,0.0
Ryan Finley,24,QB,North Carolina St.,104,2015,3,46,70,65.7,485,1,1.4,4,5.7,117.2,22,42,0.0
Ryan Finley,24,QB,North Carolina St.,104,2016,13,243,402,60.4,3055,18,4.5,8,2.0,135.1,74,94,1.0
Ryan Finley,24,QB,North Carolina St.,104,2017,13,312,479,65.1,3518,17,3.5,6,1.3,136.0,69,194,3.0
Ryan Finley,24,QB,North Carolina St.,104,2018,13,326,484,67.4,3928,25,5.2,11,2.3,148.0,42,21,1.0
Jarrett Stidham,23,QB,Auburn,133,2015,10,75,109,68.8,1265,12,11.0,2,1.8,199.0,36,70,2.0
Jarrett Stidham,23,QB,Auburn,133,2017,14,246,370,66.5,3158,18,4.9,6,1.6,151.0,103,153,4.0
Jarrett Stidham,23,QB,Auburn,133,2018,13,224,369,60.7,2794,18,4.9,5,1.4,137.7,72,1,3.0
Clayton Thorson,24,QB,Northwestern,167,2015,13,150,295,50.8,1522,7,2.4,9,3.1,95.9,100,397,5.0
Clayton Thorson,24,QB,Northwestern,167,2016,13,280,478,58.6,3182,22,4.6,9,1.9,125.9,97,98,5.0
Clayton Thorson,24,QB,Northwestern,167,2017,13,262,434,60.4,2844,15,3.5,12,2.8,121.3,87,23,8.0
Clayton Thorson,24,QB,Northwestern,167,2018,14,299,489,61.1,3183,17,3.5,15,3.1,121.2,78,-110,9.0
Gardner Minshew II,23,QB,Washington St.,178,2016,7,119,202,58.9,1347,8,4.0,4,2.0,124.0,20,-36,0.0
Gardner Minshew II,23,QB,Washington St.,178,2017,10,174,304,57.2,2140,16,5.3,7,2.3,129.1,18,-40,0.0
Gardner Minshew II,23,QB,Washington St.,178,2018,13,468,662,70.7,4779,38,5.7,9,1.4,147.6,58,119,4.0
Trace McSorley,24,QB,Penn St.,197,2015,7,20,40,50.0,185,2,5.0,0,0.0,105.4,13,43,0.0
