name,age,position,school,draft_pick,season,games,rushATT,rushYDS,rushTDS,recs,recYDS,recTDS
Todd Gurley,21,RB,Georgia,10,2012*,14,222,1385,17,16,117,0
Todd Gurley,21,RB,Georgia,10,2013*,10,165,989,10,37,441,6
Todd Gurley,21,RB,Georgia,10,2014*,6,123,911,9,12,57,0
Melvin Gordon,22,RB,Wisconsin,15,2011*,4,20,98,1,0,0,0
Melvin Gordon,22,RB,Wisconsin,15,2012*,14,62,621,3,2,65,1
Melvin Gordon,22,RB,Wisconsin,15,2013*,13,206,1609,12,1,10,0
Melvin Gordon,22,RB,Wisconsin,15,2014*,14,343,2587,29,19,153,3
T.J. Yeldon,21,RB,Alabama,36,2012*,14,175,1108,12,11,131,1
T.J. Yeldon,21,RB,Alabama,36,2013*,12,207,1235,14,20,183,0
T.J. Yeldon,21,RB,Alabama,36,2014*,13,194,979,11,15,180,1
Ameer Abdullah,22,RB,Nebraska,54,2011*,13,42,150,3,1,11,0
Ameer Abdullah,22,RB,Nebraska,54,2012*,14,226,1137,8,24,178,2
Ameer Abdullah,22,RB,Nebraska,54,2013*,13,281,1690,9,26,232,2
Ameer Abdullah,22,RB,Nebraska,54,2014*,13,264,1611,19,22,269,3
Tevin Coleman,22,RB,Indiana,73,2012,12,51,225,1,10,49,0
Tevin Coleman,22,RB,Indiana,73,2013,9,131,958,12,19,193,0
Tevin Coleman,22,RB,Indiana,73,2014,12,270,2036,15,25,141,0
Duke Johnson,21,RB,Miami (FL),77,2012,12,139,947,10,27,221,1
Duke Johnson,21,RB,Miami (FL),77,2013*,8,145,920,6,4,77,0
Duke Johnson,21,RB,Miami (FL),77,2014*,13,242,1652,10,38,421,3
David Johnson,23,RB,Northern Iowa,86,2012*,11,0,0,0,3,59,1
David Johnson,23,RB,Northern Iowa,86,2013*,13,0,0,0,43,573,4
David Johnson,23,RB,Northern Iowa,86,2014*,13,0,0,0,24,269,0
Matt Jones,22,RB,Florida,95,2012*,12,52,275,3,3,10,0
Matt Jones,22,RB,Florida,95,2013,5,79,339,2,5,25,0
Matt Jones,22,RB,Florida,95,2014*,11,166,817,6,11,65,1
Jeremy Langford,23,RB,Michigan St.,106,2011*,13,0,0,0,0,0,0
Jeremy Langford,23,RB,Michigan St.,106,2012*,9,9,23,0,0,0,0
Jeremy Langford,23,RB,Michigan St.,106,2013*,14,292,1422,18,28,157,1
Jeremy Langford,23,RB,Michigan St.,106,2014*,13,276,1522,22,11,62,0
Javorius Allen,24,RB,USC,125,2012*,3,6,32,0,0,0,0
Javorius Allen,24,RB,USC,125,2013*,13,135,785,14,22,252,1
Javorius Allen,24,RB,USC,125,2014*,13,276,1489,11,41,458,1
Mike Davis,22,RB,South Carolina,126,2012*,12,52,275,2,4,35,0
Mike Davis,22,RB,South Carolina,126,2013*,12,203,1183,11,34,352,0
Mike Davis,22,RB,South Carolina,126,2014*,13,199,982,9,32,368,2
David Cobb,22,RB,Minnesota,138,2011,4,10,57,0,0,0,0
David Cobb,22,RB,Minnesota,138,2012*,5,1,8,0,1,3,0
David Cobb,22,RB,Minnesota,138,2013*,13,237,1202,7,17,174,0
David Cobb,22,RB,Minnesota,138,2014*,13,314,1626,13,16,162,0
Jay Ajayi,22,RB,Boise St.,149,2012*,11,82,548,4,1,14,0
Jay Ajayi,22,RB,Boise St.,149,2013*,13,249,1425,18,22,222,1
Jay Ajayi,22,RB,Boise St.,149,2014*,14,347,1823,28,50,535,4
Karlos Williams,22,RB,Florida St.,155,2011*,12,0,0,0,0,0,0
Karlos Williams,22,RB,Florida St.,155,2012*,13,0,0,0,0,0,0
Karlos Williams,22,RB,Florida St.,155,2013*,14,91,730,11,8,63,0
Karlos Williams,22,RB,Florida St.,155,2014*,12,150,689,11,29,265,1
Cameron Artis-Payne,25,RB,Auburn,174,2013*,13,91,610,6,1,4,0
Cameron Artis-Payne,25,RB,Auburn,174,2014*,13,303,1608,13,13,147,0
Josh Robinson,23,RB,Mississippi St.,205,2012*,12,55,335,1,3,8,0
Josh Robinson,23,RB,Mississippi St.,205,2013*,13,78,459,3,12,115,0
Josh Robinson,23,RB,Mississippi St.,205,2014*,13,190,1203,11,28,370,1
Marcus Murphy,23,RB,Missouri,230,2010*,12,22,181,2,2,5,0
Marcus Murphy,23,RB,Missouri,230,2012,12,46,251,1,9,22,0
Marcus Murphy,23,RB,Missouri,230,2013*,14,92,601,9,11,79,1
Marcus Murphy,23,RB,Missouri,230,2014*,14,177,924,4,28,212,1
Kenny Hilliard,23,RB,LSU,235,2011*,13,62,336,8,3,13,1
Kenny Hilliard,23,RB,LSU,235,2012*,12,82,464,6,3,21,0
Kenny Hilliard,23,RB,LSU,235,2013*,12,68,310,7,1,0,0
Kenny Hilliard,23,RB,LSU,235,2014*,11,90,447,6,4,35,0
Ezekiel Elliott,21,RB,Ohio St.,4,2013*,7,30,262,2,3,23,1
Ezekiel Elliott,21,RB,Ohio St.,4,2014*,15,273,1878,18,28,220,0
Ezekiel Elliott,21,RB,Ohio St.,4,2015*,13,289,1821,23,27,206,0
Derrick Henry,22,RB,Alabama,45,2013*,10,35,382,3,1,61,1
Derrick Henry,22,RB,Alabama,45,2014*,14,172,990,11,5,133,2
Derrick Henry,22,RB,Alabama,45,2015*,15,395,2219,28,11,91,0
Kenyan Drake,22,RB,Alabama,73,2012*,12,42,281,5,0,0,0
Kenyan Drake,22,RB,Alabama,73,2013*,11,92,694,8,12,135,1
Kenyan Drake,22,RB,Alabama,73,2014*,5,22,112,4,5,159,2
Kenyan Drake,22,RB,Alabama,73,2015*,13,77,408,1,29,276,1
C.J. Prosise,22,RB,Notre Dame,90,2013*,9,0,0,0,7,72,0
C.J. Prosise,22,RB,Notre Dame,90,2014*,13,10,126,1,29,516,2
C.J. Prosise,22,RB,Notre Dame,90,2015*,11,156,1032,11,26,308,1
Tyler Ervin,22,RB,San Jose St.,119,2011,12,29,107,1,3,17,0
Tyler Ervin,22,RB,San Jose St.,119,2012*,9,45,205,1,10,126,1
Tyler Ervin,22,RB,San Jose St.,119,2013,1,2,2,0,0,0,0
Tyler Ervin,22,RB,San Jose St.,119,2014,12,158,888,4,29,306,1
Tyler Ervin,22,RB,San Jose St.,119,2015*,13,294,1601,13,45,334,2
Kenneth Dixon,22,RB,Louisiana Tech,134,2012,12,200,1194,27,10,35,1
Kenneth Dixon,22,RB,Louisiana Tech,134,2013,10,151,917,4,14,85,1
Kenneth Dixon,22,RB,Louisiana Tech,134,2014*,14,253,1299,22,30,385,6
Kenneth Dixon,22,RB,Louisiana Tech,134,2015*,11,197,1070,19,34,467,7
Devontae Booker,24,RB,Utah,136,2014*,13,292,1512,10,43,306,2
Devontae Booker,24,RB,Utah,136,2015*,10,268,1261,11,37,318,0
DeAndre Washington,23,RB,Texas Tech,143,2011,12,77,366,3,19,109,0
DeAndre Washington,23,RB,Texas Tech,143,2013*,12,107,450,4,34,269,0
DeAndre Washington,23,RB,Texas Tech,143,2014,12,188,1103,2,30,328,2
DeAndre Washington,23,RB,Texas Tech,143,2015*,13,233,1492,14,41,385,2
Paul Perkins,21,RB,UCLA,149,2013*,13,134,573,6,24,296,0
Paul Perkins,21,RB,UCLA,149,2014*,13,251,1575,9,26,201,2
Paul Perkins,21,RB,UCLA,149,2015*,13,237,1343,14,30,242,1
Jordan Howard,21,RB,Indiana,150,2013,11,145,881,2,4,83,1
Jordan Howard,21,RB,Indiana,150,2014,12,306,1587,13,9,72,1
Jordan Howard,21,RB,Indiana,150,2015*,9,196,1213,9,11,106,1
Wendell Smallwood,22,RB,West Virginia,153,2013,12,39,221,1,11,132,0
Wendell Smallwood,22,RB,West Virginia,153,2014*,13,148,722,2,31,326,0
Wendell Smallwood,22,RB,West Virginia,153,2015*,13,238,1519,9,26,160,0
Jonathan Williams,22,RB,Arkansas,156,2012,11,45,231,0,8,208,2
Jonathan Williams,22,RB,Arkansas,156,2013,12,150,900,4,7,72,2
Jonathan Williams,22,RB,Arkansas,156,2014*,13,211,1190,12,11,65,2
Jonathan Williams,22,RB,Arkansas,156,2015*,1,0,0,0,0,0,0
Alex Collins,22,RB,Arkansas,171,2013,12,190,1026,4,11,63,0
Alex Collins,22,RB,Arkansas,171,2014*,13,204,1100,12,3,9,0
Alex Collins,22,RB,Arkansas,171,2015*,13,271,1577,20,13,95,0
Keenan Reynolds,22,RB,Navy,182,2012*,13,162,649,10,0,0,0
Keenan Reynolds,22,RB,Navy,182,2013*,13,300,1346,31,0,0,0
Keenan Reynolds,22,RB,Navy,182,2014*,11,250,1191,23,0,0,0
Keenan Reynolds,22,RB,Navy,182,2015*,13,265,1373,24,1,47,0
Kelvin Taylor,22,RB,Florida,211,2013,9,111,508,4,5,37,0
Kelvin Taylor,22,RB,Florida,211,2014*,12,116,565,6,2,-8,0
Kelvin Taylor,22,RB,Florida,211,2015*,14,259,1035,13,17,150,0
Darius Jackson,22,RB,Eastern Michigan,216,2012,12,3,12,0,0,0,0
Darius Jackson,22,RB,Eastern Michigan,216,2013,7,49,201,2,3,26,0
Darius Jackson,22,RB,Eastern Michigan,216,2014,12,61,295,1,20,148,2
Darius Jackson,22,RB,Eastern Michigan,216,2015,12,208,1078,14,21,201,2
Dwayne Washington,22,RB,Washington,236,2013*,11,47,332,4,1,5,1
Dwayne Washington,22,RB,Washington,236,2014*,13,132,697,9,15,91,0
Dwayne Washington,22,RB,Washington,236,2015*,8,47,282,4,25,315,3
Daniel Lasco,23,RB,California,237,2012,12,6,109,1,0,0,0
Daniel Lasco,23,RB,California,237,2013,8,67,317,2,11,78,0
Daniel Lasco,23,RB,California,237,2014,12,210,1115,12,33,356,2
Daniel Lasco,23,RB,California,237,2015*,10,65,331,3,4,24,0
Keith Marshall,22,RB,Georgia,242,2012*,14,117,759,8,11,91,1
Keith Marshall,22,RB,Georgia,242,2013*,5,56,246,1,8,111,1
Keith Marshall,22,RB,Georgia,242,2014*,3,12,24,0,1,-5,0
Keith Marshall,22,RB,Georgia,242,2015*,11,68,350,3,4,28,1
Zac Brooks,23,RB,Clemson,247,2012*,8,26,119,0,3,9,0
Zac Brooks,23,RB,Clemson,247,2013*,9,48,246,2,6,83,1
Zac Brooks,23,RB,Clemson,247,2015*,14,41,234,3,9,113,2
Leonard Fournette,22,RB,LSU,4,2014*,13,187,1034,10,7,127,0
Leonard Fournette,22,RB,LSU,4,2015*,12,300,1953,22,19,253,1
Leonard Fournette,22,RB,LSU,4,2016*,7,129,843,8,15,146,0
Christian McCaffrey,21,RB,Stanford,8,2014*,13,42,300,0,17,251,2
Christian McCaffrey,21,RB,Stanford,8,2015*,14,337,2019,8,45,645,5
Christian McCaffrey,21,RB,Stanford,8,2016*,11,253,1603,13,37,310,3
Dalvin Cook,22,RB,Florida St.,41,2014*,13,170,1008,8,22,203,0
Dalvin Cook,22,RB,Florida St.,41,2015*,12,229,1691,19,24,244,1
Dalvin Cook,22,RB,Florida St.,41,2016*,13,288,1765,19,33,488,1
Joe Mixon,21,RB,Oklahoma,48,2015*,13,113,753,7,28,356,4
Joe Mixon,21,RB,Oklahoma,48,2016*,12,187,1274,10,37,538,5
Alvin Kamara,22,RB,Tennessee,67,2015*,13,107,698,7,34,291,3
Alvin Kamara,22,RB,Tennessee,67,2016*,11,103,596,9,40,392,4
Kareem Hunt,22,RB,Toledo,86,2013,11,137,866,6,12,68,0
Kareem Hunt,22,RB,Toledo,86,2014*,10,205,1631,16,9,39,0
Kareem Hunt,22,RB,Toledo,86,2015*,10,178,973,12,11,45,0
Kareem Hunt,22,RB,Toledo,86,2016*,13,262,1475,10,41,403,1
D'Onta Foreman,21,RB,Texas,89,2014*,7,15,73,0,1,7,0
D'Onta Foreman,21,RB,Texas,89,2015,10,95,681,5,5,64,0
D'Onta Foreman,21,RB,Texas,89,2016,11,323,2028,15,7,75,0
James Conner,22,RB,Pittsburgh,105,2013*,12,146,799,8,3,33,0
James Conner,22,RB,Pittsburgh,105,2014*,13,298,1765,26,5,70,0
James Conner,22,RB,Pittsburgh,105,2015*,1,8,77,2,1,7,0
James Conner,22,RB,Pittsburgh,105,2016*,13,216,1092,16,21,302,4
Samaje Perine,21,RB,Oklahoma,114,2014*,13,263,1713,21,15,108,0
Samaje Perine,21,RB,Oklahoma,114,2015*,13,226,1349,16,15,107,1
Samaje Perine,21,RB,Oklahoma,114,2016*,10,196,1060,12,10,106,1
Tarik Cohen,22,RB,North Carolina A&T,119,2013*,8,0,0,0,0,0,0
Tarik Cohen,22,RB,North Carolina A&T,119,2014*,13,0,0,0,35,613,8
Tarik Cohen,22,RB,North Carolina A&T,119,2015*,14,0,0,0,30,745,8
Tarik Cohen,22,RB,North Carolina A&T,119,2016*,7,0,0,0,16,309,4
Joe Williams,24,RB,Utah,121,2015*,10,104,477,3,11,84,0
Joe Williams,24,RB,Utah,121,2016*,9,210,1407,10,9,107,0
Donnel Pumphrey,22,RB,San Diego St.,132,2013*,13,125,752,8,22,234,2
Donnel Pumphrey,22,RB,San Diego St.,132,2014*,13,276,1867,20,23,160,0
Donnel Pumphrey,22,RB,San Diego St.,132,2015*,14,309,1653,17,28,416,3
Donnel Pumphrey,22,RB,San Diego St.,132,2016*,14,349,2133,17,27,231,0
Jamaal Williams,22,RB,BYU,134,2012*,13,166,775,12,27,315,1
Jamaal Williams,22,RB,BYU,134,2013*,12,217,1233,7,18,125,0
Jamaal Williams,22,RB,BYU,134,2014*,8,109,518,4,8,47,0
Jamaal Williams,22,RB,BYU,134,2016*,10,234,1375,12,7,80,0
Wayne Gallman,22,RB,Clemson,140,2014*,13,161,769,4,24,108,1
Wayne Gallman,22,RB,Clemson,140,2015*,14,283,1527,13,21,213,1
Wayne Gallman,22,RB,Clemson,140,2016*,15,232,1133,17,20,152,0
Marlon Mack,21,RB,South Florida,143,2014,12,202,1041,9,21,160,0
Marlon Mack,21,RB,South Florida,143,2015*,12,210,1381,8,16,111,1
Marlon Mack,21,RB,South Florida,143,2016*,12,174,1187,15,28,227,0
Brian Hill,21,RB,Wyoming,156,2014,12,145,796,7,13,204,0
Brian Hill,21,RB,Wyoming,156,2015,12,281,1631,6,20,132,0
Brian Hill,21,RB,Wyoming,156,2016*,14,349,1860,22,8,67,0
Jeremy McNichols,21,RB,Boise St.,162,2014*,9,17,159,1,15,155,1
Jeremy McNichols,21,RB,Boise St.,162,2015*,12,240,1337,20,51,460,6
Jeremy McNichols,21,RB,Boise St.,162,2016*,13,314,1709,23,37,474,4
T.J. Logan,23,RB,North Carolina,179,2013*,9,93,533,4,10,124,0
T.J. Logan,23,RB,North Carolina,179,2014*,13,119,582,3,26,144,0
T.J. Logan,23,RB,North Carolina,179,2015*,14,66,400,5,11,151,1
T.J. Logan,23,RB,North Carolina,179,2016*,13,120,650,7,29,244,3
Aaron Jones,22,RB,Texas-El Paso,182,2013,9,155,811,4,4,14,0
Aaron Jones,22,RB,Texas-El Paso,182,2014*,12,242,1321,11,30,293,3
Aaron Jones,22,RB,Texas-El Paso,182,2015,2,32,209,1,9,106,1
Aaron Jones,22,RB,Texas-El Paso,182,2016,12,229,1773,17,28,233,3
Elijah McGuire,23,RB,Louisiana,188,2013*,13,103,863,8,22,384,3
Elijah McGuire,23,RB,Louisiana,188,2014*,13,166,1264,14,45,468,2
Elijah McGuire,23,RB,Louisiana,188,2015,12,210,1058,13,33,293,3
Elijah McGuire,23,RB,Louisiana,188,2016*,13,232,1127,7,29,238,2
De'Angelo Henderson,24,RB,Coastal Carolina,203,2014*,13,7,20,0,45,526,7
De'Angelo Henderson,24,RB,Coastal Carolina,203,2015*,13,5,27,1,40,530,6
De'Angelo Henderson,24,RB,Coastal Carolina,203,2016*,14,9,42,0,48,691,7
Brandon Wilson,23,RB,Houston,207,2013*,4,0,0,0,0,0,0
Brandon Wilson,23,RB,Houston,207,2014*,13,0,0,0,0,0,0
Brandon Wilson,23,RB,Houston,207,2015*,14,37,188,2,6,49,0
Brandon Wilson,23,RB,Houston,207,2016*,10,4,6,0,5,52,0
Devante Mays,23,RB,Utah St.,238,2015*,13,165,966,9,1,9,0
Devante Mays,23,RB,Utah St.,238,2016,6,37,259,3,1,8,0
Khalfani Muhammad,22,RB,California,241,2013,11,74,445,4,14,187,1
Khalfani Muhammad,22,RB,California,241,2014,11,46,215,4,7,63,0
Khalfani Muhammad,22,RB,California,241,2015*,12,87,586,1,17,189,2
Khalfani Muhammad,22,RB,California,241,2016,11,152,827,2,17,132,0
Elijah Hood,21,RB,North Carolina,242,2014*,9,67,259,4,2,-2,0
Elijah Hood,21,RB,North Carolina,242,2015*,14,219,1463,17,13,71,0
Elijah Hood,21,RB,North Carolina,242,2016*,11,145,858,8,25,142,0
Chris Carson,22,RB,Oklahoma St.,249,2015*,12,131,517,4,17,170,0
Chris Carson,22,RB,Oklahoma St.,249,2016*,9,82,559,9,13,128,1
Matthew Dayes,23,RB,North Carolina St.,252,2013,11,63,252,4,10,173,1
Matthew Dayes,23,RB,North Carolina St.,252,2014*,13,104,573,8,32,321,5
Matthew Dayes,23,RB,North Carolina St.,252,2015*,8,134,865,12,24,172,0
Matthew Dayes,23,RB,North Carolina St.,252,2016*,13,249,1166,10,32,267,0
Saquon Barkley,21,RB,Penn St.,2,2015*,11,182,1076,7,20,161,1
Saquon Barkley,21,RB,Penn St.,2,2016*,14,272,1496,18,28,402,4
Saquon Barkley,21,RB,Penn St.,2,2017*,13,217,1271,18,54,632,3
Rashaad Penny,22,RB,San Diego St.,27,2014*,13,2,22,0,0,0,0
Rashaad Penny,22,RB,San Diego St.,27,2015*,14,61,368,4,8,120,1
Rashaad Penny,22,RB,San Diego St.,27,2016*,14,136,1018,11,15,224,3
Rashaad Penny,22,RB,San Diego St.,27,2017*,13,289,2248,23,19,135,2
Sony Michel,23,RB,Georgia,31,2014*,8,64,410,5,7,106,1
Sony Michel,23,RB,Georgia,31,2015*,13,219,1161,8,26,270,3
Sony Michel,23,RB,Georgia,31,2016*,12,152,840,4,22,149,1
Sony Michel,23,RB,Georgia,31,2017*,14,156,1227,16,9,96,1
Nick Chubb,22,RB,Georgia,35,2014*,13,219,1547,14,18,213,2
Nick Chubb,22,RB,Georgia,35,2015*,6,92,747,7,4,32,1
Nick Chubb,22,RB,Georgia,35,2016*,13,224,1130,8,5,86,1
Nick Chubb,22,RB,Georgia,35,2017*,15,223,1345,15,4,30,0
Ronald Jones II,21,RB,USC,38,2015*,14,153,987,8,7,39,1
Ronald Jones II,21,RB,USC,38,2016*,13,177,1082,12,11,76,1
Ronald Jones II,21,RB,USC,38,2017*,13,261,1550,19,14,187,1
Kerryon Johnson,21,RB,Auburn,43,2015*,13,52,208,3,14,159,0
Kerryon Johnson,21,RB,Auburn,43,2016*,12,182,895,11,17,125,0
Kerryon Johnson,21,RB,Auburn,43,2017*,12,285,1391,18,24,194,2
Derrius Guice,21,RB,LSU,59,2015*,12,51,436,3,5,20,0
Derrius Guice,21,RB,LSU,59,2016*,12,183,1387,15,9,106,1
Derrius Guice,21,RB,LSU,59,2017*,12,237,1251,11,18,124,2
