name,age,position,school,draft_pick,season,games,recs,recYDS,recTDS,rushAttempts,rushYards,rushTDS,collegeURL
Demaryius Thomas,22,WR,Georgia Tech,22,2007*,13,35,558,4,1,0,0,/cfb/schools/georgia-tech/2007.html
Demaryius Thomas,22,WR,Georgia Tech,22,2008*,12,39,627,3,2,29,0,/cfb/schools/georgia-tech/2008.html
Demaryius Thomas,22,WR,Georgia Tech,22,2009*,14,46,1154,8,1,3,0,/cfb/schools/georgia-tech/2009.html
Dez Bryant,21,WR,Oklahoma St.,24,2007*,12,43,622,6,2,16,0,/cfb/schools/oklahoma-state/2007.html
Dez Bryant,21,WR,Oklahoma St.,24,2008*,13,87,1480,19,0,0,0,/cfb/schools/oklahoma-state/2008.html
Dez Bryant,21,WR,Oklahoma St.,24,2009*,3,17,323,4,0,0,0,/cfb/schools/oklahoma-state/2009.html
Arrelious Benn,21,WR,Illinois,39,2007*,13,54,676,2,32,158,0,/cfb/schools/illinois/2007.html
Arrelious Benn,21,WR,Illinois,39,2008,12,67,1055,3,23,101,2,/cfb/schools/illinois/2008.html
Arrelious Benn,21,WR,Illinois,39,2009,12,38,490,2,7,23,1,/cfb/schools/illinois/2009.html
Golden Tate,22,WR,Notre Dame,60,2007,12,6,131,1,1,4,0,/cfb/schools/notre-dame/2007.html
Golden Tate,22,WR,Notre Dame,60,2008*,13,58,1080,10,5,37,1,/cfb/schools/notre-dame/2008.html
Golden Tate,22,WR,Notre Dame,60,2009,12,93,1496,15,25,186,2,/cfb/schools/notre-dame/2009.html
Damian Williams,22,WR,USC,77,2006*,13,19,235,2,1,5,0,/cfb/schools/arkansas/2006.html
Damian Williams,22,WR,USC,77,2008*,13,58,869,9,4,43,0,/cfb/schools/southern-california/2008.html
Damian Williams,22,WR,USC,77,2009*,12,70,1010,6,2,16,0,/cfb/schools/southern-california/2009.html
Brandon LaFell,23,WR,LSU,78,2006*,11,5,140,2,0,0,0,/cfb/schools/louisiana-state/2006.html
Brandon LaFell,23,WR,LSU,78,2007*,14,50,656,4,1,18,1,/cfb/schools/louisiana-state/2007.html
Brandon LaFell,23,WR,LSU,78,2008*,13,63,929,8,2,6,0,/cfb/schools/louisiana-state/2008.html
Brandon LaFell,23,WR,LSU,78,2009*,13,57,792,11,5,13,0,/cfb/schools/louisiana-state/2009.html
Emmanuel Sanders,23,WR,SMU,82,2006,12,46,605,9,2,6,0,/cfb/schools/southern-methodist/2006.html
Emmanuel Sanders,23,WR,SMU,82,2007,12,74,889,9,6,28,0,/cfb/schools/southern-methodist/2007.html
Emmanuel Sanders,23,WR,SMU,82,2008,10,67,958,9,0,0,0,/cfb/schools/southern-methodist/2008.html
Emmanuel Sanders,23,WR,SMU,82,2009*,13,98,1339,7,1,6,0,/cfb/schools/southern-methodist/2009.html
Jordan Shipley,24,WR,Texas,84,2006*,13,16,229,4,7,110,0,/cfb/schools/texas/2006.html
Jordan Shipley,24,WR,Texas,84,2007*,13,27,417,5,4,20,0,/cfb/schools/texas/2007.html
Jordan Shipley,24,WR,Texas,84,2008*,13,89,1060,11,4,32,0,/cfb/schools/texas/2008.html
Jordan Shipley,24,WR,Texas,84,2009*,14,116,1485,13,1,0,0,/cfb/schools/texas/2009.html
Eric Decker,23,WR,Minnesota,87,2006*,13,26,378,3,1,5,0,/cfb/schools/minnesota/2006.html
Eric Decker,23,WR,Minnesota,87,2007,12,67,909,9,3,22,0,/cfb/schools/minnesota/2007.html
Eric Decker,23,WR,Minnesota,87,2008*,12,84,1074,7,11,87,1,/cfb/schools/minnesota/2008.html
Eric Decker,23,WR,Minnesota,87,2009*,8,50,758,5,0,0,0,/cfb/schools/minnesota/2009.html
Andre Roberts,22,WR,The Citadel,88,2006*,13,26,378,3,1,5,0,/cfb/schools/minnesota/2006.html
Andre Roberts,22,WR,The Citadel,88,2007,12,67,909,9,3,22,0,/cfb/schools/minnesota/2007.html
Andre Roberts,22,WR,The Citadel,88,2008*,12,84,1074,7,11,87,1,/cfb/schools/minnesota/2008.html
Andre Roberts,22,WR,The Citadel,88,2009*,8,50,758,5,0,0,0,/cfb/schools/minnesota/2009.html
Armanti Edwards,22,WR,Appalachian St.,89,2006*,13,26,378,3,1,5,0,/cfb/schools/minnesota/2006.html
Armanti Edwards,22,WR,Appalachian St.,89,2007,12,67,909,9,3,22,0,/cfb/schools/minnesota/2007.html
Armanti Edwards,22,WR,Appalachian St.,89,2008*,12,84,1074,7,11,87,1,/cfb/schools/minnesota/2008.html
Armanti Edwards,22,WR,Appalachian St.,89,2009*,8,50,758,5,0,0,0,/cfb/schools/minnesota/2009.html
Taylor Price,22,WR,Ohio,90,2006*,14,9,77,0,2,-20,0,/cfb/schools/ohio/2006.html
Taylor Price,22,WR,Ohio,90,2007,12,33,464,4,6,23,0,/cfb/schools/ohio/2007.html
Taylor Price,22,WR,Ohio,90,2008,12,51,694,5,5,19,0,/cfb/schools/ohio/2008.html
Taylor Price,22,WR,Ohio,90,2009*,14,56,784,5,11,103,0,/cfb/schools/ohio/2009.html
Mardy Gilyard,23,WR,Cincinnati,99,2005,8,0,0,0,0,0,0,/cfb/schools/cincinnati/2005.html
Mardy Gilyard,23,WR,Cincinnati,99,2007*,13,36,536,3,0,0,0,/cfb/schools/cincinnati/2007.html
Mardy Gilyard,23,WR,Cincinnati,99,2008*,14,81,1276,11,2,10,0,/cfb/schools/cincinnati/2008.html
Mardy Gilyard,23,WR,Cincinnati,99,2009*,13,87,1191,11,5,16,1,/cfb/schools/cincinnati/2009.html
Mike Williams,23,WR,Syracuse,101,2006,10,24,461,4,0,0,0,/cfb/schools/syracuse/2006.html
Mike Williams,23,WR,Syracuse,101,2007,12,60,837,10,0,0,0,/cfb/schools/syracuse/2007.html
Mike Williams,23,WR,Syracuse,101,2009,7,49,746,6,1,-7,0,/cfb/schools/syracuse/2009.html
Marcus Easley,22,WR,Connecticut,107,2007*,10,1,10,0,0,0,0,/cfb/schools/connecticut/2007.html
Marcus Easley,22,WR,Connecticut,107,2008*,11,4,94,0,0,0,0,/cfb/schools/connecticut/2008.html
Marcus Easley,22,WR,Connecticut,107,2009*,13,48,893,8,1,11,0,/cfb/schools/connecticut/2009.html
Jacoby Ford,23,WR,Clemson,108,2006*,13,15,187,2,8,104,0,/cfb/schools/clemson/2006.html
Jacoby Ford,23,WR,Clemson,108,2007*,8,17,310,4,14,172,0,/cfb/schools/clemson/2007.html
Jacoby Ford,23,WR,Clemson,108,2008*,13,55,710,4,18,96,0,/cfb/schools/clemson/2008.html
Jacoby Ford,23,WR,Clemson,108,2009*,14,56,779,6,18,122,2,/cfb/schools/clemson/2009.html
David Reed,23,WR,Utah,156,2008*,13,25,427,6,1,15,1,/cfb/schools/utah/2008.html
David Reed,23,WR,Utah,156,2009*,13,81,1188,5,4,4,0,/cfb/schools/utah/2009.html
Riley Cooper,22,WR,Florida,159,2006*,13,4,92,3,0,0,0,/cfb/schools/florida/2006.html
Riley Cooper,22,WR,Florida,159,2007*,10,8,182,3,0,0,0,/cfb/schools/florida/2007.html
Riley Cooper,22,WR,Florida,159,2008*,14,18,261,3,0,0,0,/cfb/schools/florida/2008.html
Riley Cooper,22,WR,Florida,159,2009*,14,51,961,9,1,14,0,/cfb/schools/florida/2009.html
Kerry Meier,23,WR,Kansas,165,2006,8,1,5,0,99,344,5,/cfb/schools/kansas/2006.html
Kerry Meier,23,WR,Kansas,165,2007*,13,26,274,2,15,78,1,/cfb/schools/kansas/2007.html
Kerry Meier,23,WR,Kansas,165,2008*,13,97,1045,8,2,-5,0,/cfb/schools/kansas/2008.html
Kerry Meier,23,WR,Kansas,165,2009,12,102,985,8,2,-2,0,/cfb/schools/kansas/2009.html
Carlton Mitchell,22,WR,South Florida,177,2007*,13,37,537,4,4,17,0,/cfb/schools/south-florida/2007.html
Carlton Mitchell,22,WR,South Florida,177,2008*,13,28,405,1,1,7,0,/cfb/schools/south-florida/2008.html
Carlton Mitchell,22,WR,South Florida,177,2009*,11,40,706,4,0,0,0,/cfb/schools/south-florida/2009.html
Dezmon Briscoe,21,WR,Kansas,191,2007*,13,43,496,7,0,0,0,/cfb/schools/kansas/2007.html
Dezmon Briscoe,21,WR,Kansas,191,2008*,13,92,1407,15,2,18,0,/cfb/schools/kansas/2008.html
Dezmon Briscoe,21,WR,Kansas,191,2009,11,84,1337,9,2,19,1,/cfb/schools/kansas/2009.html
Antonio Brown,22,WR,Central Michigan,195,2007*,14,102,1003,6,10,74,1,/cfb/schools/central-michigan/2007.html
Antonio Brown,22,WR,Central Michigan,195,2008*,13,93,998,7,20,116,0,/cfb/schools/central-michigan/2008.html
Antonio Brown,22,WR,Central Michigan,195,2009*,14,110,1198,9,42,341,3,/cfb/schools/central-michigan/2009.html
David Gettis,23,WR,Baylor,198,2006,11,4,82,1,0,0,0,/cfb/schools/baylor/2006.html
David Gettis,23,WR,Baylor,198,2007,12,31,407,0,0,0,0,/cfb/schools/baylor/2007.html
David Gettis,23,WR,Baylor,198,2008,12,29,391,0,0,0,0,/cfb/schools/baylor/2008.html
David Gettis,23,WR,Baylor,198,2009,12,52,675,3,0,0,0,/cfb/schools/baylor/2009.html
Kyle Williams,22,WR,Arizona St.,206,2006*,6,4,87,0,0,0,0,/cfb/schools/arizona-state/2006.html
Kyle Williams,22,WR,Arizona St.,206,2007*,13,29,360,6,6,15,0,/cfb/schools/arizona-state/2007.html
Kyle Williams,22,WR,Arizona St.,206,2008,11,19,364,4,6,42,0,/cfb/schools/arizona-state/2008.html
Kyle Williams,22,WR,Arizona St.,206,2009,11,57,815,8,5,73,0,/cfb/schools/arizona-state/2009.html
Terrence Austin,22,WR,UCLA,219,2006*,9,2,29,0,1,7,0,/cfb/schools/ucla/2006.html
Terrence Austin,22,WR,UCLA,219,2007*,13,17,248,0,4,24,0,/cfb/schools/ucla/2007.html
Terrence Austin,22,WR,UCLA,219,2008,12,53,460,1,13,90,0,/cfb/schools/ucla/2008.html
Terrence Austin,22,WR,UCLA,219,2009*,13,37,455,4,5,25,0,/cfb/schools/ucla/2009.html
Marc Mariani,23,WR,Montana,222,2006*,9,2,29,0,1,7,0,/cfb/schools/ucla/2006.html
Marc Mariani,23,WR,Montana,222,2007*,13,17,248,0,4,24,0,/cfb/schools/ucla/2007.html
Marc Mariani,23,WR,Montana,222,2008,12,53,460,1,13,90,0,/cfb/schools/ucla/2008.html
Marc Mariani,23,WR,Montana,222,2009*,13,37,455,4,5,25,0,/cfb/schools/ucla/2009.html
Dorin Dickerson,22,WR,Pittsburgh,227,2006,7,1,5,0,3,25,1,/cfb/schools/pittsburgh/2006.html
Dorin Dickerson,22,WR,Pittsburgh,227,2007,12,0,0,0,0,0,0,/cfb/schools/pittsburgh/2007.html
Dorin Dickerson,22,WR,Pittsburgh,227,2008*,13,13,174,2,2,25,0,/cfb/schools/pittsburgh/2008.html
Dorin Dickerson,22,WR,Pittsburgh,227,2009*,13,49,529,10,0,0,0,/cfb/schools/pittsburgh/2009.html
A.J. Green,23,WR,Georgia,4,2008*,13,56,963,8,4,61,0,/cfb/schools/georgia/2008.html
A.J. Green,23,WR,Georgia,4,2009*,10,53,808,6,0,0,0,/cfb/schools/georgia/2009.html
A.J. Green,23,WR,Georgia,4,2010*,9,57,848,9,3,44,0,/cfb/schools/georgia/2010.html
Julio Jones,22,WR,Alabama,6,2008*,14,58,924,4,0,0,0,/cfb/schools/alabama/2008.html
Julio Jones,22,WR,Alabama,6,2009*,13,43,596,4,2,4,0,/cfb/schools/alabama/2009.html
Julio Jones,22,WR,Alabama,6,2010*,13,78,1133,7,8,135,2,/cfb/schools/alabama/2010.html
Jonathan Baldwin,22,WR,Pittsburgh,26,2008*,13,18,404,3,1,4,0,/cfb/schools/pittsburgh/2008.html
Jonathan Baldwin,22,WR,Pittsburgh,26,2009*,13,57,1111,8,1,61,0,/cfb/schools/pittsburgh/2009.html
Jonathan Baldwin,22,WR,Pittsburgh,26,2010*,13,53,822,5,3,3,0,/cfb/schools/pittsburgh/2010.html
Titus Young,22,WR,Boise St.,44,2007*,13,44,639,5,13,66,2,/cfb/schools/boise-state/2007.html
Titus Young,22,WR,Boise St.,44,2008*,3,10,168,1,5,52,2,/cfb/schools/boise-state/2008.html
Titus Young,22,WR,Boise St.,44,2009*,14,79,1041,10,15,138,3,/cfb/schools/boise-state/2009.html
Titus Young,22,WR,Boise St.,44,2010*,13,71,1215,9,14,94,1,/cfb/schools/boise-state/2010.html
Torrey Smith,22,WR,Maryland,58,2008*,13,24,336,2,1,0,0,/cfb/schools/maryland/2008.html
Torrey Smith,22,WR,Maryland,58,2009,12,61,824,5,11,59,1,/cfb/schools/maryland/2009.html
Torrey Smith,22,WR,Maryland,58,2010*,13,67,1055,12,9,7,0,/cfb/schools/maryland/2010.html
Austin Pettis,23,WR,Boise St.,78,2007*,13,46,465,6,0,0,0,/cfb/schools/boise-state/2007.html
Austin Pettis,23,WR,Boise St.,78,2008*,13,49,567,9,0,0,0,/cfb/schools/boise-state/2008.html
Austin Pettis,23,WR,Boise St.,78,2009*,13,63,855,14,1,-11,0,/cfb/schools/boise-state/2009.html
Austin Pettis,23,WR,Boise St.,78,2010*,13,71,951,10,0,0,0,/cfb/schools/boise-state/2010.html
Leonard Hankerson,22,WR,Miami (FL),79,2007,8,6,63,1,0,0,0,/cfb/schools/miami-fl/2007.html
Leonard Hankerson,22,WR,Miami (FL),79,2008*,8,11,140,2,0,0,0,/cfb/schools/miami-fl/2008.html
Leonard Hankerson,22,WR,Miami (FL),79,2009*,13,45,801,6,0,0,0,/cfb/schools/miami-fl/2009.html
Leonard Hankerson,22,WR,Miami (FL),79,2010*,13,72,1156,13,0,0,0,/cfb/schools/miami-fl/2010.html
Vincent Brown,22,WR,San Diego St.,82,2007,12,31,349,2,0,0,0,/cfb/schools/san-diego-state/2007.html
Vincent Brown,22,WR,San Diego St.,82,2008,12,64,631,5,3,37,0,/cfb/schools/san-diego-state/2008.html
Vincent Brown,22,WR,San Diego St.,82,2009,7,45,778,6,3,10,0,/cfb/schools/san-diego-state/2009.html
Vincent Brown,22,WR,San Diego St.,82,2010*,13,69,1352,10,1,-13,0,/cfb/schools/san-diego-state/2010.html
Jerrel Jernigan,22,WR,Troy,83,2007,12,30,337,3,14,50,0,/cfb/schools/troy/2007.html
Jerrel Jernigan,22,WR,Troy,83,2008*,12,77,868,5,33,254,1,/cfb/schools/troy/2008.html
Jerrel Jernigan,22,WR,Troy,83,2009*,13,71,1101,4,40,266,1,/cfb/schools/troy/2009.html
Jerrel Jernigan,22,WR,Troy,83,2010*,13,84,822,6,45,322,3,/cfb/schools/troy/2010.html
Kris Durham,23,WR,Georgia,107,2006*,13,8,82,0,0,0,0,/cfb/schools/georgia/2006.html
Kris Durham,23,WR,Georgia,107,2007*,13,11,169,0,0,0,0,/cfb/schools/georgia/2007.html
Kris Durham,23,WR,Georgia,107,2008*,10,13,199,1,0,0,0,/cfb/schools/georgia/2008.html
Kris Durham,23,WR,Georgia,107,2010*,11,32,659,3,0,0,0,/cfb/schools/georgia/2010.html
Clyde Gates,25,WR,Abilene Christian,111,2006*,13,8,82,0,0,0,0,/cfb/schools/georgia/2006.html
Clyde Gates,25,WR,Abilene Christian,111,2007*,13,11,169,0,0,0,0,/cfb/schools/georgia/2007.html
Clyde Gates,25,WR,Abilene Christian,111,2008*,10,13,199,1,0,0,0,/cfb/schools/georgia/2008.html
Clyde Gates,25,WR,Abilene Christian,111,2010*,11,32,659,3,0,0,0,/cfb/schools/georgia/2010.html
Greg Salas,23,WR,Hawaii,112,2007*,7,3,35,1,0,0,0,/cfb/schools/hawaii/2007.html
Greg Salas,23,WR,Hawaii,112,2008*,14,57,831,3,0,0,0,/cfb/schools/hawaii/2008.html
Greg Salas,23,WR,Hawaii,112,2009,13,106,1590,8,0,0,0,/cfb/schools/hawaii/2009.html
Greg Salas,23,WR,Hawaii,112,2010*,14,119,1889,14,0,0,0,/cfb/schools/hawaii/2010.html
Cecil Shorts,23,WR,Mount Union,114,2007*,7,3,35,1,0,0,0,/cfb/schools/hawaii/2007.html
Cecil Shorts,23,WR,Mount Union,114,2008*,14,57,831,3,0,0,0,/cfb/schools/hawaii/2008.html
Cecil Shorts,23,WR,Mount Union,114,2009,13,106,1590,8,0,0,0,/cfb/schools/hawaii/2009.html
Cecil Shorts,23,WR,Mount Union,114,2010*,14,119,1889,14,0,0,0,/cfb/schools/hawaii/2010.html
Tandon Doss,21,WR,Indiana,123,2008,8,14,186,1,0,0,0,/cfb/schools/indiana/2008.html
Tandon Doss,21,WR,Indiana,123,2009,12,77,962,5,14,127,1,/cfb/schools/indiana/2009.html
Tandon Doss,21,WR,Indiana,123,2010,11,63,706,7,28,163,1,/cfb/schools/indiana/2010.html
Kealoha Pilares,23,WR,Hawaii,132,2007*,11,26,249,1,68,388,3,/cfb/schools/hawaii/2007.html
Kealoha Pilares,23,WR,Hawaii,132,2008*,10,29,246,2,56,300,5,/cfb/schools/hawaii/2008.html
Kealoha Pilares,23,WR,Hawaii,132,2009,13,66,690,4,1,13,0,/cfb/schools/hawaii/2009.html
Kealoha Pilares,23,WR,Hawaii,132,2010*,13,88,1306,15,0,0,0,/cfb/schools/hawaii/2010.html
Denarius Moore,22,WR,Tennessee,148,2007*,14,14,212,0,0,0,0,/cfb/schools/tennessee/2007.html
Denarius Moore,22,WR,Tennessee,148,2008,12,11,271,2,0,0,0,/cfb/schools/tennessee/2008.html
Denarius Moore,22,WR,Tennessee,148,2009*,13,40,540,7,3,23,0,/cfb/schools/tennessee/2009.html
Denarius Moore,22,WR,Tennessee,148,2010*,13,47,981,9,7,82,1,/cfb/schools/tennessee/2010.html
Jeremy Kerley,22,WR,TCU,153,2007*,13,9,97,0,6,16,0,/cfb/schools/texas-christian/2007.html
Jeremy Kerley,22,WR,TCU,153,2008*,11,11,95,0,25,143,3,/cfb/schools/texas-christian/2008.html
Jeremy Kerley,22,WR,TCU,153,2009*,13,44,532,2,14,50,3,/cfb/schools/texas-christian/2009.html
Jeremy Kerley,22,WR,TCU,153,2010*,13,56,575,10,18,97,2,/cfb/schools/texas-christian/2010.html
Niles Paul,22,WR,Nebraska,155,2007,7,1,6,0,0,0,0,/cfb/schools/nebraska/2007.html
Niles Paul,22,WR,Nebraska,155,2008*,13,23,214,0,1,-6,0,/cfb/schools/nebraska/2008.html
Niles Paul,22,WR,Nebraska,155,2009*,14,40,796,4,3,48,1,/cfb/schools/nebraska/2009.html
Niles Paul,22,WR,Nebraska,155,2010*,12,39,516,1,5,14,0,/cfb/schools/nebraska/2010.html
Ryan Whalen,22,WR,Stanford,167,2007,12,1,11,0,0,0,0,/cfb/schools/stanford/2007.html
Ryan Whalen,22,WR,Stanford,167,2008,12,41,508,1,0,0,0,/cfb/schools/stanford/2008.html
Ryan Whalen,22,WR,Stanford,167,2009*,13,57,926,4,0,0,0,/cfb/schools/stanford/2009.html
Ryan Whalen,22,WR,Stanford,167,2010*,11,41,439,2,0,0,0,/cfb/schools/stanford/2010.html
Dwayne Harris,23,WR,East Carolina,176,2007*,13,26,246,2,20,197,1,/cfb/schools/east-carolina/2007.html
Dwayne Harris,23,WR,East Carolina,176,2008*,10,58,654,1,19,76,0,/cfb/schools/east-carolina/2008.html
Dwayne Harris,23,WR,East Carolina,176,2009*,14,83,978,7,31,149,5,/cfb/schools/east-carolina/2009.html
