name,age,position,nfl_games, nfl_recs, nfl_recYDS, nfl_recTDS
Demaryius Thomas,22,WR,10.0,22.0,283.0,2.0
Dez Bryant,21,WR,12.0,45.0,561.0,6.0
Dexter McCluster,21,WR,,,,
Arrelious Benn,21,WR,15.0,25.0,395.0,2.0
Golden Tate,22,WR,11.0,21.0,227.0,0.0
Damian Williams,22,WR,16.0,16.0,219.0,0.0
Brandon LaFell,23,WR,14.0,38.0,468.0,1.0
Emmanuel Sanders,23,WR,13.0,28.0,376.0,2.0
Jordan Shipley,24,WR,15.0,52.0,600.0,3.0
Eric Decker,23,WR,14.0,6.0,106.0,1.0
Andre Roberts,22,WR,15.0,24.0,307.0,2.0
Armanti Edwards,22,WR,3.0,0.0,0.0,0.0
Taylor Price,22,WR,1.0,3.0,41.0,0.0
Mardy Gilyard,23,WR,11.0,6.0,63.0,0.0
Mike Williams,23,WR,16.0,65.0,964.0,11.0
Marcus Easley,22,WR,16.0,2.0,13.0,0.0
Jacoby Ford,23,WR,16.0,25.0,470.0,2.0
David Reed,23,WR,13.0,0.0,0.0,0.0
Riley Cooper,22,WR,13.0,7.0,116.0,1.0
Kerry Meier,23,WR,,,,
Carlton Mitchell,22,WR,5.0,0.0,0.0,0.0
Dezmon Briscoe,21,WR,2.0,6.0,93.0,1.0
Antonio Brown,22,WR,9.0,16.0,167.0,0.0
Trindon Holliday,24,WR,15.0,2.0,17.0,0.0
David Gettis,23,WR,15.0,37.0,508.0,3.0
Joe Webb,23,WR,,,,
Kyle Williams,22,WR,5.0,1.0,8.0,0.0
Terrence Austin,22,WR,5.0,3.0,47.0,0.0
Marc Mariani,23,WR,16.0,0.0,0.0,0.0
Dorin Dickerson,22,WR,7.0,0.0,0.0,0.0
Tim Toone,25,WR,,,,
A.J. Green,23,WR,15.0,65.0,1057.0,7.0
Julio Jones,22,WR,13.0,54.0,959.0,8.0
Jonathan Baldwin,22,WR,11.0,21.0,254.0,1.0
Titus Young,22,WR,16.0,48.0,607.0,6.0
Torrey Smith,22,WR,16.0,50.0,841.0,7.0
Greg Little,22,WR,16.0,61.0,709.0,2.0
Randall Cobb,21,WR,15.0,25.0,375.0,1.0
Austin Pettis,23,WR,12.0,27.0,256.0,0.0
Leonard Hankerson,22,WR,4.0,13.0,163.0,0.0
Vincent Brown,22,WR,14.0,19.0,329.0,2.0
Jerrel Jernigan,22,WR,8.0,0.0,0.0,0.0
Kris Durham,23,WR,3.0,3.0,30.0,0.0
Clyde Gates,25,WR,15.0,2.0,19.0,0.0
Greg Salas,23,WR,6.0,27.0,264.0,0.0
Cecil Shorts,23,WR,10.0,2.0,30.0,1.0
Tandon Doss,21,WR,6.0,0.0,0.0,0.0
Kealoha Pilares,23,WR,8.0,2.0,42.0,1.0
Denarius Moore,22,WR,13.0,33.0,618.0,5.0
Jeremy Kerley,22,WR,14.0,29.0,314.0,1.0
Niles Paul,22,WR,13.0,2.0,25.0,0.0
Ryan Whalen,22,WR,4.0,4.0,27.0,0.0
Dwayne Harris,23,WR,16.0,17.0,222.0,1.0
Aldrick Robinson,22,WR,15.0,11.0,237.0,3.0
Ronald Johnson,23,WR,,,,
Scotty McKnight,23,WR,,,,
Stephen Burton,21,WR,3.0,2.0,38.0,0.0
David Ausberry,23,WR,12.0,2.0,14.0,0.0
DeMarco Sampson,25,WR,12.0,3.0,36.0,0.0
Justin Blackmon,22,WR,16.0,64.0,865.0,5.0
Michael Floyd,22,WR,16.0,45.0,562.0,2.0
Kendall Wright,22,WR,15.0,64.0,626.0,4.0
A.J. Jenkins,22,WR,3.0,0.0,0.0,0.0
Brian Quick,23,WR,15.0,11.0,156.0,2.0
Stephen Hill,21,WR,11.0,21.0,252.0,3.0
Alshon Jeffery,22,WR,10.0,24.0,367.0,3.0
Ryan Broyles,24,WR,10.0,22.0,310.0,2.0
Rueben Randle,21,WR,16.0,19.0,298.0,3.0
DeVier Posey,22,WR,11.0,6.0,87.0,0.0
T.J. Graham,23,WR,15.0,31.0,322.0,1.0
Mohamed Sanu,23,WR,9.0,16.0,154.0,4.0
T.Y. Hilton,22,WR,15.0,50.0,861.0,7.0
Chris Givens,22,WR,15.0,42.0,698.0,3.0
Travis Benjamin,22,WR,14.0,18.0,298.0,2.0
Joe Adams,22,WR,,,,
Devon Wylie,24,WR,6.0,6.0,53.0,0.0
Jarius Wright,22,WR,7.0,22.0,310.0,2.0
Keshawn Martin,22,WR,16.0,10.0,85.0,1.0
Nick Toon,23,WR,8.0,4.0,68.0,0.0
Greg Childs,22,WR,,,,
Danny Coale,24,WR,,,,
Marvin Jones,22,WR,11.0,18.0,201.0,1.0
Juron Criner,22,WR,12.0,16.0,151.0,1.0
B.J. Cunningham,23,WR,,,,
Marvin McNutt,23,WR,4.0,0.0,0.0,0.0
Tommy Streeter,22,WR,,,,
LaVon Brazill,23,WR,15.0,11.0,186.0,1.0
Rishard Matthews,22,WR,8.0,11.0,151.0,0.0
Toney Clemons,23,WR,4.0,3.0,41.0,0.0
Jeremy Ebert,23,WR,5.0,3.0,18.0,0.0
Junior Hemingway,23,WR,1.0,0.0,0.0,0.0
Jordan White,24,WR,3.0,1.0,13.0,0.0
Tavon Austin,23,WR,13.0,40.0,418.0,4.0
DeAndre Hopkins,21,WR,16.0,52.0,802.0,2.0
Cordarrelle Patterson,22,WR,,,,
Justin Hunter,22,WR,14.0,18.0,354.0,4.0
Robert Woods,21,WR,14.0,40.0,587.0,3.0
Aaron Dobson,22,WR,12.0,37.0,519.0,4.0
Terrance Williams,23,WR,16.0,44.0,736.0,5.0
Keenan Allen,21,WR,15.0,71.0,1046.0,8.0
Marquise Goodwin,22,WR,12.0,17.0,283.0,3.0
Markus Wheaton,22,WR,12.0,6.0,64.0,0.0
Stedman Bailey,22,WR,16.0,17.0,226.0,0.0
Ace Sanders,21,WR,15.0,51.0,484.0,1.0
Josh Boyce,22,WR,9.0,9.0,121.0,0.0
Chris Harper,23,WR,,,,
Quinton Patton,23,WR,6.0,3.0,34.0,0.0
Denard Robinson,22,WR,,,,
Kenny Stills,21,WR,16.0,32.0,641.0,5.0
Tavarres King,23,WR,2.0,2.0,13.0,0.0
Corey Fuller,23,WR,16.0,14.0,212.0,1.0
Ryan Swope,22,WR,,,,
Justin Brown,22,WR,8.0,12.0,94.0,0.0
Alan Bonner,22,WR,,,,
Cobi Hamilton,22,WR,0.0,0.0,0.0,0.0
Brice Butler,23,WR,10.0,9.0,103.0,0.0
Charles Johnson,24,WR,12.0,31.0,475.0,2.0
Kevin Dorsey,23,WR,3.0,1.0,4.0,0.0
Marquess Wilson,20,WR,10.0,2.0,13.0,0.0
Aaron Mellette,23,WR,,,,
Sammy Watkins,21,WR,16.0,65.0,982.0,6.0
Mike Evans,21,WR,15.0,68.0,1051.0,12.0
Odell Beckham Jr.,21,WR,12.0,91.0,1305.0,12.0
Brandin Cooks,20,WR,10.0,53.0,550.0,3.0
Kelvin Benjamin,23,WR,16.0,73.0,1008.0,9.0
Marqise Lee,22,WR,13.0,37.0,422.0,1.0
Jordan Matthews,22,WR,16.0,67.0,872.0,8.0
Paul Richardson,22,WR,15.0,29.0,271.0,1.0
Davante Adams,21,WR,16.0,38.0,446.0,3.0
Cody Latimer,21,WR,8.0,2.0,23.0,0.0
Allen Robinson,21,WR,10.0,48.0,548.0,2.0
Jarvis Landry,21,WR,16.0,84.0,758.0,5.0
Josh Huff,22,WR,12.0,8.0,98.0,0.0
Donte Moncrief,21,WR,16.0,32.0,444.0,3.0
John Brown,24,WR,16.0,48.0,696.0,5.0
Dri Archer,23,WR,,,,
Jalen Saunders,21,WR,15.0,1.0,7.0,0.0
Bruce Ellington,23,WR,13.0,6.0,62.0,2.0
Shaquelle Evans,23,WR,,,,
Martavis Bryant,22,WR,10.0,26.0,549.0,8.0
Kevin Norwood,24,WR,9.0,9.0,102.0,0.0
Ryan Grant,23,WR,16.0,7.0,68.0,0.0
Devin Street,23,WR,16.0,2.0,18.0,0.0
Jared Abbrederis,23,WR,10.0,9.0,111.0,0.0
Robert Herron,22,WR,8.0,6.0,58.0,1.0
T.J. Jones,22,WR,10.0,10.0,132.0,1.0
Matt Hazel,22,WR,5.0,0.0,0.0,0.0
Walt Powell,22,WR,4.0,0.0,0.0,0.0
Quincy Enunwa,22,WR,1.0,0.0,0.0,0.0
Michael Campanaro,23,WR,4.0,7.0,102.0,1.0
Jeff Janis,23,WR,3.0,2.0,16.0,0.0
James Wright,22,WR,11.0,5.0,91.0,0.0
Tevin Reese,23,WR,,,,
Jeremy Gallon,24,WR,,,,
