name,age,position,nfl_rushingYDS,nfl_rushingTDS,nfl_games,nfl_recs,nfl_recYDS,nfl_recTDS
Todd Gurley,21,RB,1106.0,10.0,13.0,21.0,188.0,0.0
Melvin Gordon,22,RB,641.0,0.0,14.0,33.0,192.0,0.0
T.J. Yeldon,21,RB,740.0,2.0,12.0,36.0,279.0,1.0
Ameer Abdullah,22,RB,597.0,2.0,16.0,25.0,183.0,1.0
Tevin Coleman,22,RB,392.0,1.0,12.0,2.0,14.0,0.0
Duke Johnson,21,RB,379.0,0.0,16.0,61.0,534.0,2.0
David Johnson,23,RB,581.0,8.0,16.0,36.0,457.0,4.0
Matt Jones,22,RB,490.0,3.0,13.0,19.0,304.0,1.0
Jeremy Langford,23,RB,537.0,6.0,16.0,22.0,279.0,1.0
Javorius Allen,24,RB,514.0,1.0,16.0,45.0,353.0,2.0
Mike Davis,22,RB,58.0,0.0,6.0,7.0,38.0,0.0
David Cobb,22,RB,146.0,1.0,7.0,1.0,-2.0,0.0
Jay Ajayi,22,RB,187.0,1.0,9.0,7.0,90.0,0.0
Karlos Williams,22,RB,517.0,7.0,11.0,11.0,96.0,2.0
Cameron Artis-Payne,25,RB,183.0,1.0,7.0,5.0,58.0,0.0
Josh Robinson,23,RB,39.0,0.0,5.0,6.0,33.0,0.0
Marcus Murphy,23,RB,0.0,0.0,13.0,0.0,0.0,0.0
Kenny Hilliard,23,RB,,,,,,
Ezekiel Elliott,21,RB,1631.0,15.0,15.0,32.0,363.0,1.0
Derrick Henry,22,RB,490.0,5.0,15.0,13.0,137.0,0.0
Kenyan Drake,22,RB,179.0,2.0,16.0,9.0,46.0,0.0
C.J. Prosise,22,RB,172.0,1.0,6.0,17.0,208.0,0.0
Tyler Ervin,22,RB,,,,,,
Kenneth Dixon,22,RB,382.0,2.0,12.0,30.0,162.0,1.0
Devontae Booker,24,RB,612.0,4.0,16.0,31.0,265.0,1.0
DeAndre Washington,23,RB,467.0,2.0,14.0,17.0,115.0,0.0
Paul Perkins,21,RB,456.0,0.0,14.0,15.0,162.0,0.0
Jordan Howard,21,RB,1313.0,6.0,15.0,29.0,298.0,1.0
Wendell Smallwood,22,RB,312.0,1.0,13.0,6.0,55.0,0.0
Jonathan Williams,22,RB,94.0,1.0,11.0,1.0,0.0,0.0
Alex Collins,22,RB,125.0,1.0,11.0,11.0,84.0,0.0
Keenan Reynolds,22,RB,,,,,,
Kelvin Taylor,22,RB,,,,,,
Darius Jackson,22,RB,16.0,0.0,4.0,0.0,0.0,0.0
Dwayne Washington,22,RB,265.0,1.0,12.0,10.0,62.0,0.0
Daniel Lasco,23,RB,32.0,0.0,7.0,2.0,11.0,0.0
Keith Marshall,22,RB,,,,,,
Zac Brooks,23,RB,,,,,,
Leonard Fournette,22,RB,1040.0,9.0,13.0,36.0,302.0,1.0
Christian McCaffrey,21,RB,435.0,2.0,16.0,80.0,651.0,5.0
Dalvin Cook,22,RB,354.0,2.0,4.0,11.0,90.0,0.0
Joe Mixon,21,RB,626.0,4.0,14.0,30.0,287.0,0.0
Alvin Kamara,22,RB,728.0,8.0,16.0,81.0,826.0,5.0
Kareem Hunt,22,RB,1327.0,8.0,16.0,53.0,455.0,3.0
D'Onta Foreman,21,RB,327.0,2.0,10.0,6.0,83.0,0.0
James Conner,22,RB,144.0,0.0,14.0,0.0,0.0,0.0
Samaje Perine,21,RB,603.0,1.0,16.0,22.0,182.0,1.0
Tarik Cohen,22,RB,370.0,2.0,16.0,53.0,353.0,1.0
Joe Williams,24,RB,,,,,,
Donnel Pumphrey,22,RB,,,,,,
Jamaal Williams,22,RB,556.0,4.0,16.0,25.0,262.0,2.0
Wayne Gallman,22,RB,476.0,0.0,13.0,34.0,193.0,1.0
Marlon Mack,21,RB,358.0,3.0,14.0,21.0,225.0,1.0
Brian Hill,21,RB,37.0,0.0,7.0,2.0,36.0,0.0
Jeremy McNichols,21,RB,0.0,0.0,2.0,0.0,0.0,0.0
T.J. Logan,23,RB,,,,,,
Aaron Jones,22,RB,448.0,4.0,12.0,9.0,22.0,0.0
Elijah McGuire,23,RB,315.0,1.0,16.0,17.0,177.0,1.0
De'Angelo Henderson,24,RB,13.0,0.0,5.0,2.0,36.0,1.0
Brandon Wilson,23,RB,,,,,,
Devante Mays,23,RB,1.0,0.0,8.0,3.0,0.0,0.0
Khalfani Muhammad,22,RB,,,,,,
Elijah Hood,21,RB,,,,,,
Chris Carson,22,RB,208.0,0.0,4.0,7.0,59.0,1.0
Matthew Dayes,23,RB,13.0,0.0,16.0,4.0,29.0,0.0
Saquon Barkley,21,RB,1307.0,11.0,16.0,91.0,721.0,4.0
Rashaad Penny,22,RB,419.0,2.0,14.0,9.0,75.0,0.0
Sony Michel,23,RB,931.0,6.0,13.0,7.0,50.0,0.0
Nick Chubb,22,RB,996.0,8.0,16.0,20.0,149.0,2.0
Ronald Jones II,21,RB,44.0,1.0,9.0,7.0,33.0,0.0
Kerryon Johnson,21,RB,641.0,3.0,10.0,32.0,213.0,1.0
Derrius Guice,21,RB,245.0,2.0,5.0,7.0,79.0,1.0
Royce Freeman,22,RB,521.0,5.0,14.0,14.0,72.0,0.0
Nyheim Hines,21,RB,314.0,2.0,16.0,63.0,425.0,2.0
Mark Walton,21,RB,34.0,0.0,14.0,5.0,41.0,0.0
Ito Smith,22,RB,315.0,4.0,14.0,27.0,152.0,0.0
Kalen Ballage,22,RB,191.0,1.0,12.0,9.0,56.0,0.0
Chase Edmonds,22,RB,208.0,2.0,16.0,20.0,103.0,0.0
Jordan Wilkins,24,RB,336.0,1.0,16.0,16.0,85.0,0.0
John Kelly,21,RB,74.0,0.0,4.0,2.0,27.0,0.0
Boston Scott,23,RB,0.0,0.0,2.0,0.0,0.0,0.0
Trenton Cannon,24,RB,113.0,1.0,16.0,17.0,144.0,0.0
David Williams,24,RB,36.0,0.0,6.0,0.0,0.0,0.0
Bo Scarbrough,23,RB,377.0,1.0,6.0,1.0,5.0,0.0
Nick Bawden,22,RB,,,,,,
Justin Jackson,22,RB,206.0,2.0,13.0,15.0,135.0,0.0
Josh Jacobs,21,RB,1150.0,7.0,13.0,20.0,166.0,0.0
Miles Sanders,22,RB,818.0,3.0,16.0,50.0,509.0,3.0
Darrell Henderson,22,RB,147.0,0.0,13.0,4.0,37.0,0.0
David Montgomery,22,RB,889.0,6.0,16.0,25.0,185.0,1.0
Devin Singletary,22,RB,775.0,2.0,12.0,29.0,194.0,2.0
Damien Harris,22,RB,12.0,0.0,2.0,0.0,0.0,0.0
Alexander Mattison,21,RB,462.0,1.0,13.0,10.0,82.0,0.0
Bryce Love,22,RB,,,,,,
Justice Hill,21,RB,225.0,2.0,16.0,8.0,70.0,0.0
Benny Snell Jr.,21,RB,426.0,2.0,13.0,3.0,23.0,0.0
Tony Pollard,22,RB,455.0,2.0,15.0,15.0,107.0,1.0
Ryquell Armstead,22,RB,108.0,0.0,16.0,14.0,144.0,2.0
Qadree Ollison,22,RB,50.0,4.0,8.0,1.0,7.0,0.0
Jordan Scarlett,23,RB,9.0,0.0,9.0,0.0,0.0,0.0
Trayveon Williams,21,RB,0.0,0.0,11.0,0.0,0.0,0.0
Ty Johnson,21,RB,273.0,0.0,16.0,24.0,109.0,0.0
Dexter Williams,22,RB,11.0,0.0,4.0,0.0,0.0,0.0
Travis Homer,21,RB,114.0,0.0,16.0,11.0,56.0,0.0
Rodney Anderson,22,RB,,,,,,
Darwin Thompson,22,RB,128.0,1.0,12.0,9.0,43.0,0.0
Mike Weber,22,RB,,,,,,
Cullen Gillaspia,24,RB,,,,,,
Kerrith Whyte Jr,22,RB,122.0,0.0,6.0,1.0,9.0,0.0
Chandler Cox,23,RB,,,,,,
Myles Gaskin,22,RB,133.0,1.0,7.0,7.0,51.0,0.0
Clyde Edwards-Helaire,21,RB,803.0,4.0,13.0,36.0,297.0,1.0
D'Andre Swift,21,RB,521.0,8.0,13.0,46.0,357.0,2.0
Jonathan Taylor,21,RB,1169.0,11.0,15.0,36.0,299.0,1.0
Cam Akers,21,RB,625.0,2.0,13.0,11.0,123.0,1.0
J.K. Dobbins,21,RB,805.0,9.0,15.0,18.0,120.0,0.0
AJ Dillon,22,RB,242.0,2.0,11.0,2.0,21.0,0.0
Antonio Gibson,22,RB,795.0,11.0,14.0,36.0,247.0,0.0
Ke'Shawn Vaughn,23,RB,109.0,0.0,10.0,5.0,34.0,1.0
Zack Moss,22,RB,481.0,4.0,13.0,14.0,95.0,1.0
Darrynton Evans,22,RB,54.0,0.0,5.0,2.0,27.0,1.0
Joshua Kelley,22,RB,354.0,2.0,14.0,23.0,148.0,0.0
La'Mical Perine,22,RB,232.0,2.0,10.0,11.0,63.0,0.0
Anthony McFarland Jr.,22,RB,113.0,0.0,11.0,6.0,54.0,0.0
DeeJay Dallas,21,RB,108.0,2.0,12.0,17.0,111.0,1.0
Jason Huntley,22,RB,19.0,0.0,5.0,1.0,0.0,0.0
Eno Benjamin,21,RB,118.0,1.0,9.0,6.0,42.0,0.0
Raymond Calais,22,RB,,,,,,
Malcolm Perry,23,RB,,,,,,
Najee Harris,23,RB,1200.0,7.0,17.0,74.0,467.0,3.0
Travis Etienne,22,RB,1125.0,5.0,17.0,35.0,316.0,0.0
Javonte Williams,21,RB,903.0,4.0,17.0,43.0,316.0,3.0
Trey Sermon,22,RB,167.0,1.0,9.0,3.0,26.0,0.0
Michael Carter,22,RB,639.0,4.0,14.0,36.0,325.0,0.0
Kene Nwangwu,23,RB,61.0,0.0,11.0,4.0,9.0,0.0
Rhamondre Stevenson,23,RB,606.0,5.0,12.0,14.0,123.0,0.0
Chuba Hubbard,22,RB,612.0,5.0,17.0,25.0,174.0,1.0
Kenneth Gainwell,22,RB,291.0,5.0,16.0,33.0,253.0,1.0
Elijah Mitchell,23,RB,963.0,5.0,11.0,19.0,137.0,1.0
Gary Brightwell,22,RB,4.0,0.0,13.0,1.0,6.0,0.0
Larry Rountree,22,RB,87.0,1.0,12.0,1.0,-1.0,0.0
Chris Evans,23,RB,77.0,0.0,14.0,15.0,151.0,2.0
Demetric Felton,23,RB,,,,,,
Khalil Herbert,23,RB,433.0,2.0,17.0,14.0,96.0,0.0
Jake Funk,23,RB,5.0,0.0,10.0,0.0,0.0,0.0
Gerrid Doaks,23,RB,,,,,,
Kylin Hill,23,RB,24.0,0.0,8.0,1.0,5.0,0.0
Jermar Jefferson,21,RB,74.0,2.0,7.0,4.0,23.0,0.0
Breece Hall,21,RB,463.0,4.0,7.0,19.0,218.0,1.0
Kenneth Walker III,21,RB,1050.0,9.0,15.0,27.0,165.0,0.0
James Cook,22,RB,507.0,2.0,16.0,21.0,180.0,1.0
Rachaad White,23,RB,481.0,1.0,17.0,50.0,290.0,2.0
Tyrion Davis-Price,21,RB,99.0,0.0,6.0,0.0,0.0,0.0
Brian Robinson Jr.,23,RB,797.0,2.0,12.0,9.0,60.0,1.0
Dameon Pierce,22,RB,939.0,4.0,13.0,30.0,165.0,1.0
Zamir White,22,RB,70.0,0.0,14.0,0.0,0.0,0.0
Isaiah Spiller,21,RB,41.0,0.0,6.0,3.0,13.0,0.0
Pierre Strong,23,RB,100.0,1.0,15.0,7.0,42.0,0.0
Hassan Haskins,22,RB,93.0,0.0,15.0,11.0,57.0,0.0
Tyler Allgeier,22,RB,1035.0,3.0,16.0,16.0,139.0,1.0
Snoop Conner,22,RB,42.0,1.0,8.0,0.0,0.0,0.0
Jerome Ford,22,RB,12.0,0.0,13.0,0.0,0.0,0.0
Kyren Williams,22,RB,139.0,0.0,10.0,9.0,76.0,0.0
Ty Chandler,24,RB,20.0,0.0,3.0,0.0,0.0,0.0
Kevin Harris,21,RB,52.0,1.0,5.0,0.0,0.0,0.0
Tyler Badie,22,RB,0.0,0.0,1.0,1.0,24.0,1.0
Keaontay Ingram,22,RB,60.0,1.0,12.0,4.0,21.0,0.0
Trestan Ebner,23,RB,54.0,0.0,17.0,2.0,8.0,0.0
Brittain Brown,24,RB,,,,,,
Isiah Pacheco,23,RB,830.0,5.0,17.0,13.0,130.0,0.0
Zander Horvath,23,RB,,,,,,
Bijan Robinson,21,RB,976.0,4.0,17.0,58.0,487.0,4.0
Jahmyr Gibbs,21,RB,945.0,10.0,15.0,52.0,316.0,1.0
Zach Charbonnet,22,RB,462.0,1.0,16.0,33.0,209.0,0.0
Kendre Miller,21,RB,156.0,1.0,8.0,10.0,117.0,0.0
Tyjae Spears,22,RB,453.0,2.0,17.0,52.0,385.0,1.0
De'Von Achane,21,RB,800.0,8.0,11.0,27.0,197.0,3.0
Tank Bigsby,22,RB,132.0,2.0,17.0,1.0,6.0,0.0
Roschon Johnson,22,RB,352.0,2.0,15.0,34.0,209.0,0.0
Israel Abanikanda,20,RB,70.0,0.0,6.0,7.0,43.0,0.0
Chase Brown,23,RB,179.0,0.0,12.0,14.0,156.0,1.0
Eric Gray,23,RB,48.0,0.0,13.0,6.0,22.0,0.0
Evan Hull,22,RB,,,,,,
Chris Rodriguez,22,RB,247.0,2.0,13.0,2.0,12.0,0.0
Deuce Vaughn,21,RB,40.0,0.0,7.0,7.0,40.0,0.0
Zach Evans,22,RB,19.0,0.0,10.0,0.0,0.0,0.0
DeWayne McBride,22,RB,,,,,,
Lew Nichols,22,RB,,,,,,
Kenny McIntosh,23,RB,0.0,0.0,3.0,0.0,0.0,0.0
Jonathon Brooks,21,RB,22.0,0.0,3.0,3.0,23.0,0.0
Trey Benson,21,RB,291.0,1.0,13.0,6.0,59.0,0.0
Blake Corum,23,RB,207.0,0.0,17.0,7.0,58.0,0.0
MarShawn Lloyd,23,RB,15.0,0.0,1.0,1.0,3.0,0.0
Jaylen Wright,21,RB,249.0,0.0,15.0,3.0,8.0,0.0
Bucky Irving,22,RB,1122.0,8.0,17.0,47.0,392.0,0.0
Will Shipley,22,RB,82.0,0.0,16.0,4.0,35.0,0.0
Ray Davis,24,RB,442.0,3.0,17.0,17.0,189.0,3.0
Isaac Guerendo,24,RB,420.0,4.0,16.0,15.0,152.0,0.0
Braelon Allen,20,RB,334.0,2.0,17.0,19.0,148.0,1.0
Audric Estime,21,RB,310.0,2.0,13.0,5.0,27.0,0.0
Rasheen Ali,23,RB,31.0,0.0,6.0,0.0,0.0,0.0
Tyrone Tracy Jr.,24,RB,839.0,5.0,17.0,38.0,284.0,1.0
Keilan Robinson,24,RB,,,,,,
Isaiah Davis,22,RB,174.0,1.0,17.0,9.0,75.0,1.0
Kimani Vidal,23,RB,155.0,0.0,10.0,5.0,62.0,1.0
Jase McClellan,22,RB,32.0,0.0,2.0,0.0,0.0,0.0
Jawhar Jordan,25,RB,,,,,,
Dylan Laube,24,RB,0.0,0.0,10.0,0.0,0.0,0.0
